,county,num_blocks,num_tracts
319,13053,1454,5
320,13055,1121,6
321,13057,3455,26
322,13059,1797,30
323,13061,469,1
324,13063,3505,50
325,13065,2120,2
326,13067,9971,120
327,13069,2657,9
328,13071,2248,10
329,13073,1574,20
330,13075,1320,4
331,13077,2990,20
332,13079,487,3
333,13081,1484,6
334,13083,1087,4
335,13085,930,3
336,13087,1867,7
337,13089,7591,145
338,13091,1442,6
339,13093,1183,3
340,13095,3101,27
341,13097,1699,20
342,13099,1238,5
343,13101,598,2
344,13103,1669,10
345,13105,1256,5
346,13107,2096,6
347,13109,1670,3
348,13111,1748,5
349,13113,1705,20
350,13115,3386,20
351,13117,1704,45
352,13119,1513,5
353,13121,13193,204
354,13123,1770,5
355,13125,373,1
356,13127,3621,16
357,13129,2032,9
358,13131,1897,6
359,13133,1288,7
360,13135,7502,113
361,13137,1714,8
362,13139,4202,36
363,13141,1014,2
364,13143,1831,5
365,13145,1538,5
366,13147,1985,5
367,13149,644,3
368,13151,3017,25
369,13153,4605,23
370,13155,1438,2
371,13157,2121,11
372,13159,1028,3
373,13161,1070,3
374,13163,1629,4
375,13165,844,2
376,13167,696,3
377,13169,957,6
378,13171,841,3
379,13173,754,2
380,13175,2979,13
381,13177,692,5
382,13179,2880,15
383,13181,764,2
384,13183,1135,3
385,13185,3132,25
386,13187,1076,4
387,13189,1216,5
388,13191,1846,5
389,13193,1309,4
390,13195,1380,6
391,13197,733,2
392,13199,1580,4
393,13201,496,3
394,13205,1098,5
395,13207,1185,5
396,13209,871,3
397,13211,1422,5
398,13213,945,8
399,13215,4103,53
400,13217,2102,13
401,13219,914,6
402,13221,954,4
403,13223,1854,19
404,13225,1065,6
405,13227,1082,6
406,13229,1987,4
407,13231,860,4
408,13233,1903,7
409,13235,739,3
410,13237,896,5
411,13239,243,1
412,13241,1334,5
413,13243,785,2
414,13245,5788,47
415,13247,1518,15
416,13249,345,2
417,13251,1617,5
418,13253,713,3
419,13255,1767,12
420,13257,1447,5
421,13259,915,2
422,13261,1454,8
423,13263,790,3
424,13265,462,1
425,13267,2253,5
426,13269,979,3
427,13271,1125,3
428,13273,879,4
429,13275,2065,11
430,13277,2317,9
431,13279,1545,6
432,13281,805,3
433,13283,696,2
434,13285,2275,14
435,13287,1075,2
436,13289,815,2
437,13291,1274,6
438,13293,1337,7
439,13295,2672,13
440,13297,1779,15
441,13299,3131,9
442,13301,949,2
443,13303,2084,5
444,13305,2201,6
445,13307,450,2
446,13309,629,2
447,13311,993,5
448,13313,3131,18
449,13315,863,4
450,13317,855,4
451,13319,794,3
452,13321,1664,5
453,16001,10146,59
454,16003,2792,2
455,16005,4892,22
456,16007,2279,2
457,16009,2002,2
458,16011,3465,8
459,16013,2836,4
460,16015,3449,1
461,16017,4108,9
462,16019,6573,21
463,16021,1669,2
464,16023,1100,1
465,16025,1000,1
466,16027,9185,29
467,16029,2834,2
468,16031,3677,6
469,16033,1000,1
470,16035,3248,2
471,16037,2434,1
472,16039,5441,5
473,16041,2579,2
474,16043,2542,3
475,16045,2276,3
476,16047,3860,2
477,16049,5061,5
478,16051,2754,4
479,16053,3921,5
480,16055,6033,25
481,16057,2747,7
482,16059,3737,3
483,16061,924,3
484,16063,2552,1
485,16065,2183,6
486,16067,4263,5
487,16069,2197,10
488,16071,1404,1
489,16073,4122,3
490,16075,2277,4
491,16077,2563,2
492,16079,3016,3
493,16081,1354,1
494,16083,6294,14
495,16085,4865,3
496,16087,2188,3
497,17001,3928,18
498,17003,1117,4
499,17005,1598,4
500,17007,1771,7
501,17009,1081,2
502,17011,3973,10
503,17013,687,2
504,17015,1975,6
505,17017,1775,5
506,17019,7268,43
507,17021,3229,10
508,17023,2008,4
509,17025,1636,4
510,17027,2552,8
511,17029,3030,12
512,17031,99042,1319
513,17033,1997,6
514,17035,1470,3
515,17037,3973,21
516,17039,2021,5
517,17041,2467,5
518,17043,17374,216
519,17045,3401,5
520,17047,788,3
521,17049,2466,8
522,17051,2837,7
523,17053,1678,5
524,17055,3911,12
525,17057,3357,12
526,17059,954,2
527,17061,1808,5
528,17063,4888,10
529,17065,1277,3
530,17067,2577,7
531,17069,498,2
532,17071,1382,3
533,17073,3389,13
534,17075,3734,9
535,17077,3691,14
536,17079,1336,3
537,17081,2931,11
538,17083,1213,6
539,17085,2211,6
540,17087,1359,4
541,17089,10664,82
542,17091,4281,29
543,17093,3875,10
544,17095,3192,16
545,17097,15968,154
546,17099,6686,28
547,17101,1701,5
548,17103,2977,9
549,17105,4620,10
550,17107,3205,8
551,17109,2243,10
552,17111,8051,52
553,17113,6781,41
554,17115,4529,34
555,17117,4355,13
556,17119,10672,61
557,17121,3797,12
558,17123,1930,5
559,17125,1976,6
560,17127,1196,4
561,17129,1185,3
562,17131,1702,4
563,17133,1686,6
564,17135,3574,8
565,17137,2303,10
566,17139,1487,4
567,17141,3444,11
568,17143,5641,48
569,17145,1668,6
570,17147,1759,4
571,17149,2991,5
572,17151,561,2
573,17153,1032,2
574,17155,658,2
575,17157,2714,9
576,17159,1423,5
577,17161,4689,40
578,17163,10471,60
579,17165,2386,9
580,17167,8831,53
581,17169,1088,3
582,17171,824,2
583,17173,3536,6
584,17175,774,2
585,17177,2572,13
586,17179,6430,30
587,17181,1591,5
588,17183,7410,24
589,17185,1840,4
590,17187,1866,5
591,17189,1650,4
592,17191,2046,5
593,17193,2999,5
594,17195,4756,18
595,17197,14515,152
596,17199,4541,15
597,17201,9518,77
598,17203,3036,9
599,18001,1873,7
600,18003,8052,96
601,18005,4709,15
602,18007,1468,3
603,18009,1240,4
604,18011,3103,10
605,18013,849,4
606,18015,2056,7
607,18017,3049,11
608,18019,4170,26
609,18021,2292,6
610,18023,1797,8
611,18025,1186,3
612,18027,2705,7
613,18029,2388,10
614,18031,1565,6
615,18033,2270,9
616,18035,4423,30
617,18037,2333,7
618,18039,7439,36
619,18041,1415,7
620,18043,1847,20
621,18045,1542,5
622,18047,1522,5
623,18049,1655,6
624,18051,3718,7
625,18053,3685,16
626,18055,2254,9
627,18057,5741,39
628,18059,2260,10
629,18061,1380,6
630,18063,3867,21
631,18065,3205,13
632,18067,3576,20
633,18069,2080,9
634,18071,2904,10
635,18073,1796,8
636,18075,1585,7
637,18077,2029,7
638,18079,1810,6
639,18081,4795,22
640,18083,3033,10
641,18085,4038,19
642,18087,2433,8
643,18089,13465,118
644,18091,4801,29
645,18093,2482,10
646,18095,5119,37
647,18097,16147,224
648,18099,2427,12
649,18101,1297,3
650,18103,1977,10
651,18105,2797,31
652,18107,2480,9
